XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
554402000694208,Ruby's Carwash LLC,Approved,Unitec DRB New,PPS_WASH_DRB,7/20/2022 11:25:02 AM,7/20/2022 3:35:15 PM,,7/20/2022 11:25:02 AM,7/20/2022 11:25:04 AM,,
8739298245300112,Aden Grocery,Approved,Patrick McCawley,Patrick McCawley,7/20/2022 11:24:54 AM,7/20/2022 1:13:55 PM,,7/20/2022 11:24:54 AM,7/20/2022 11:39:11 AM,,
,PRISTINE POOLS,Pending,Anthony Bilotti,Anthony Bilotti American 6.19,7/20/2022 11:18:39 AM,,,7/20/2022 11:18:39 AM,7/20/2022 12:01:42 PM,,
8739296960300800,XIU MASSAGE,Approved,Fu Zhou,TEAM FZ,7/20/2022 11:17:19 AM,7/20/2022 4:58:14 PM,,7/20/2022 11:17:19 AM,7/20/2022 12:05:27 PM,7/20/2022 5:01:27 PM,
,Off the Rails (Online),Draft,Lisa Degnan,INGAGE I.T.,7/20/2022 11:06:57 AM,,,7/20/2022 11:06:57 AM,,,
56310000007917,BARNHART AUTO SERVICE,Approved,Tom Biehle,Tom Biehle,7/20/2022 10:59:46 AM,7/20/2022 1:54:34 PM,,7/20/2022 10:59:46 AM,7/20/2022 11:45:05 AM,,
554402050040724,FIESTA HABANERO,Approved,Harley Miller,Harley Miller,7/20/2022 10:52:09 AM,7/21/2022 9:32:25 AM,,7/20/2022 10:52:09 AM,7/20/2022 11:35:03 AM,,
,The Best Cleaner,Pending,Minh Voduy,386- Minh Voduy- 9486,7/20/2022 10:42:43 AM,,,7/20/2022 10:42:43 AM,7/20/2022 11:39:23 AM,,
,Pengelly Market & Deli,Draft,Ziad Ibrahim,Ziad Ibrahim,7/20/2022 10:41:18 AM,,,7/20/2022 10:41:18 AM,,,
554402000694190,Red Crab Fredericksburg,Approved,Patrick McCawley,Patrick McCawley,7/20/2022 10:34:09 AM,7/20/2022 3:33:23 PM,,7/20/2022 10:34:09 AM,7/20/2022 10:58:24 AM,,
8739299330302334,PLUS MAIL,Approved,Michael Palmer,Michael Palmer,7/20/2022 10:33:35 AM,7/20/2022 12:40:55 PM,,7/20/2022 10:33:35 AM,7/20/2022 10:44:59 AM,,
,Tiffany Nails,Pending,Trang Nguyen,1001000 VNS Inside Sales,7/20/2022 10:33:14 AM,,,7/20/2022 10:33:14 AM,7/20/2022 11:09:18 AM,,
,WILLIES HOMEMADE SALSA E-COMM,Pending,DONNA  ROLLINS,DONNA ROLLINS,7/20/2022 10:17:45 AM,,,7/20/2022 10:17:45 AM,7/20/2022 10:25:16 AM,,
554402050040575,CRAVEN'S TOUCH,Approved,Gabriel  Grijalva,Gabriel Grijalva,7/20/2022 10:16:32 AM,7/20/2022 1:42:25 PM,,7/20/2022 10:16:32 AM,7/20/2022 10:26:57 AM,,
554402008002826,The Inn at Fairfield Beach,Approved,Mary Kate Gobleck,Reliance Merchant Services,7/20/2022 10:12:33 AM,7/21/2022 5:08:42 PM,,7/20/2022 10:12:33 AM,7/21/2022 9:42:21 AM,,
554402050040617,RS OPTICAL,Approved,Jack Portman,Jack Portman,7/20/2022 10:08:13 AM,7/20/2022 3:01:46 PM,,7/20/2022 10:08:13 AM,7/20/2022 10:57:34 AM,,
,CRYDER AND COMPANY LLC,Pending,Monica Hester,Monica Hester,7/20/2022 10:07:12 AM,,,7/20/2022 10:07:12 AM,7/21/2022 9:00:54 AM,,
554402050040567,JOHNNY'S PIZZERIA,Approved,Michael Stetzer,Michael Stetzer,7/20/2022 9:58:25 AM,7/20/2022 12:23:22 PM,,7/20/2022 9:58:25 AM,7/20/2022 10:07:08 AM,,
